target,pipeline_id,pipeline_status,metric,stratum,numerator,denominator,percent,metric_status
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,answer_returned_after_truncation_pct,real,111,131,84.732824,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,crash_pct,real,0,131,0.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,swallowed_error_pct,real,,,,not_measured
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,accidental_correct_pct,real,0,131,0.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,answer_is_numeric_pct,real,105,111,94.594595,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,answer_returned_after_truncation_pct,real_pre_answer,26,26,100.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,crash_pct,real_pre_answer,0,26,0.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,swallowed_error_pct,real_pre_answer,,,,not_measured
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,accidental_correct_pct,real_pre_answer,0,26,0.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,answer_is_numeric_pct,real_pre_answer,22,26,84.615385,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,answer_returned_after_truncation_pct,real_no_pre_answer,85,105,80.952381,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,crash_pct,real_no_pre_answer,0,105,0.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,swallowed_error_pct,real_no_pre_answer,,,,not_measured
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,accidental_correct_pct,real_no_pre_answer,0,105,0.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,answer_is_numeric_pct,real_no_pre_answer,83,85,97.647059,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,answer_returned_after_truncation_pct,synthetic,100,100,100.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,crash_pct,synthetic,0,100,0.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,swallowed_error_pct,synthetic,,,,not_measured
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,accidental_correct_pct,synthetic,40,100,40.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,answer_is_numeric_pct,synthetic,100,100,100.000000,ok
lm-evaluation-harness,gsm8k_flexible_extract,control_disqualified,control_pass_pct,control,24,28,85.714286,ok
lm-evaluation-harness,aime_process_results,ok,answer_returned_after_truncation_pct,real,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,crash_pct,real,0,48,0.000000,ok
lm-evaluation-harness,aime_process_results,ok,swallowed_error_pct,real,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,accidental_correct_pct,real,1,48,2.083333,ok
lm-evaluation-harness,aime_process_results,ok,answer_is_numeric_pct,real,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,answer_returned_after_truncation_pct,real_pre_answer,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,crash_pct,real_pre_answer,0,6,0.000000,ok
lm-evaluation-harness,aime_process_results,ok,swallowed_error_pct,real_pre_answer,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,accidental_correct_pct,real_pre_answer,1,6,16.666667,ok
lm-evaluation-harness,aime_process_results,ok,answer_is_numeric_pct,real_pre_answer,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,answer_returned_after_truncation_pct,real_no_pre_answer,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,crash_pct,real_no_pre_answer,0,42,0.000000,ok
lm-evaluation-harness,aime_process_results,ok,swallowed_error_pct,real_no_pre_answer,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,accidental_correct_pct,real_no_pre_answer,0,42,0.000000,ok
lm-evaluation-harness,aime_process_results,ok,answer_is_numeric_pct,real_no_pre_answer,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,answer_returned_after_truncation_pct,synthetic,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,crash_pct,synthetic,0,100,0.000000,ok
lm-evaluation-harness,aime_process_results,ok,swallowed_error_pct,synthetic,,,,not_measured
lm-evaluation-harness,aime_process_results,ok,accidental_correct_pct,synthetic,0,100,0.000000,ok
lm-evaluation-harness,aime_process_results,ok,answer_is_numeric_pct,synthetic,,,,not_measured
