row_index,fixture_id,kind,content_sha256,duplicate_ordinal,text_empty
0,real-truncated-aa20e7ac6246feb9-001,truncated,aa20e7ac6246feb93ef51bc4cd2fb9655347b70299c54872164d2efd8bac923b,1,true
1,real-truncated-aa20e7ac6246feb9-002,truncated,aa20e7ac6246feb93ef51bc4cd2fb9655347b70299c54872164d2efd8bac923b,2,true
2,real-truncated-aa20e7ac6246feb9-003,truncated,aa20e7ac6246feb93ef51bc4cd2fb9655347b70299c54872164d2efd8bac923b,3,true
3,real-truncated-aa20e7ac6246feb9-004,truncated,aa20e7ac6246feb93ef51bc4cd2fb9655347b70299c54872164d2efd8bac923b,4,true
4,real-control_correct-89378d7c9af16411-001,control_correct,89378d7c9af16411ba33c67e08661276430e27df1de4c54a51b038748d14133f,1,false
5,real-control_correct-16e0de893f7ebe3a-001,control_correct,16e0de893f7ebe3a13213ad002fac93a9da3cf702f54ee4789e591e0d1149057,1,false
6,real-truncated-6cbbd1fc624eeadc-001,truncated,6cbbd1fc624eeadcb7a817a430d64d5bcbc1cc4a24588392b3705f9e5fe4e4a8,1,false
7,real-truncated-bd664f49bf0e323e-001,truncated,bd664f49bf0e323ee4ec26e2fbf1fc8adbd7fdb12a8969d09ea3526169ca83d2,1,false
8,real-control_correct-2d3da8c4bfee3c4c-001,control_correct,2d3da8c4bfee3c4cc9012688dc8c8290deb5a570461aee71c602d637da85846a,1,false
9,real-control_correct-c9f62a5de2de08df-001,control_correct,c9f62a5de2de08dfc77d72d8b2f84f6ea6d3608823aa78f304621bc9e35c41e8,1,false
10,real-truncated-491eccf133b25a22-001,truncated,491eccf133b25a2278f0702896facf7eca375eb718146e048ee5963537408024,1,true
11,real-control_correct-c6ddf5c572a35adb-001,control_correct,c6ddf5c572a35adb0254281b068c4420a1c5c4dd1b1a9f017ee70f0110cd5e08,1,false
12,real-control_correct-17d3bfe110828692-001,control_correct,17d3bfe110828692de967059a6b0e65d4241e82640b09a558079e4100b04d49d,1,false
13,real-truncated-6a67539058b9830a-001,truncated,6a67539058b9830a5ac672f50c321ee109f68cdb22acd34ad75340ea31fd9cf3,1,false
14,real-truncated-80007a0418241777-001,truncated,80007a0418241777aff7b034cf991691bc1aa346f27e2799122ccac2e4ed7e28,1,false
15,real-truncated-3e5a56704b99efaf-001,truncated,3e5a56704b99efaf2361ef3903017e4b3499a61e419f8a26777a81521b69d235,1,false
16,real-truncated-0f801e8936e3e652-001,truncated,0f801e8936e3e6526c77b60f779cb5820e22bc873448ecd191be4a575f09322d,1,false
17,real-control_correct-61723f102d6ae8a1-001,control_correct,61723f102d6ae8a100e01afa0a07fad84258d8cf81014235cd3b1edd42368ef2,1,false
18,real-control_correct-255be5d582935302-001,control_correct,255be5d582935302341b8f52aaf459131f6547dc6513751f405c94c9d54600cd,1,false
19,real-truncated-64dca569eb2179ee-001,truncated,64dca569eb2179eec6fae86481129f7f85dd44efec457fd671bd99617c4ed29b,1,false
20,real-truncated-62f658f8621431bd-001,truncated,62f658f8621431bdb3f8cf45a719a32b2e10f936fc37995698cb1ceebd33d13e,1,false
21,real-truncated-d1c8cfdc97ccfed3-001,truncated,d1c8cfdc97ccfed33bea1e96e61c0b3f06807c4cbeb80e835d6f33a8c22dae7c,1,false
22,real-truncated-11ac842eba29ce66-001,truncated,11ac842eba29ce660547cf9b67663fb25295745c19a483056a84c5a812afbb31,1,false
23,real-control_correct-9e251a1ffea90916-001,control_correct,9e251a1ffea90916e891fd13a95155c5441a40d2441a32cc977ae58bb6cf6e06,1,false
24,real-control_correct-43de6f6db2801086-001,control_correct,43de6f6db28010865b8bfe49293221c0444e1e6ecc79c2ece6cec731caba0b34,1,false
25,real-truncated-7d4dcc415df8964c-001,truncated,7d4dcc415df8964cf40bc1e678907711f5fd6c36309737d4bf99b9890fa95a60,1,false
26,real-truncated-40b63e4bb8bc1fc2-001,truncated,40b63e4bb8bc1fc25c26ed63c19cca1091170dd379557f20a6f583d87794e2d3,1,false
27,real-truncated-e4cb8ed5052dcd59-001,truncated,e4cb8ed5052dcd59efd7031d609bc7ba0ae714c199793d7148f2ba4fb9224fc4,1,false
28,real-control_correct-eeb69bc8e4b6afb6-001,control_correct,eeb69bc8e4b6afb69eef6f050208d675f7b61bb0b3388edb2de6d36a70e3b09a,1,false
29,real-control_correct-8e92ff00e3dc8c7f-001,control_correct,8e92ff00e3dc8c7f85a4c1eee00e0912a5ab995c111298b20c43e21bcb1ea94f,1,false
30,real-truncated-5f94257404611a94-001,truncated,5f94257404611a94c888784a1a156c15f1a41873066214e4eb4051baa71200f4,1,false
31,real-truncated-cac6cd311f4a62d6-001,truncated,cac6cd311f4a62d60ed66dfee95db30ccb08e3a207fb596ffa6658e35b0c6630,1,false
32,real-control_correct-c2bfbc405396d110-001,control_correct,c2bfbc405396d110c324d037ed9b56699e0f5d05d3614ea2138a4d94bff04833,1,false
33,real-control_correct-c44a3d80f5ea3ae9-001,control_correct,c44a3d80f5ea3ae98ae8ea126550c6eef88d8dc8916b9c331bdb9d2b2d2aed3d,1,false
34,real-truncated-d8a68b2d62a0e37e-001,truncated,d8a68b2d62a0e37e48abadc310f9e8de863f483291778071927567985171c3ce,1,false
35,real-truncated-6313122c5f9da4b8-001,truncated,6313122c5f9da4b8a25b6209d9d1ce74de4b64a4b0c0217e019ac468ac20fdae,1,false
36,real-truncated-9880d7c411a9144e-001,truncated,9880d7c411a9144e2b5a434eeefbb98c66d693f2963fce9b94e7753b32c17355,1,false
37,real-truncated-c4dd38bcc0c31ad8-001,truncated,c4dd38bcc0c31ad830cc1fdc5255e4fbf0b437bb8d95d5f3fa680c3ad0d15854,1,false
38,real-truncated-c7a933a4b57b2cee-001,truncated,c7a933a4b57b2cee88ffc8dea74fc8aa8018e9de029650d8b3cecabc0f328674,1,false
39,real-truncated-7ae317e50e0d73c5-001,truncated,7ae317e50e0d73c550c1419e2698e03eeb87bff3d8fd206b2830f1c26e967978,1,false
40,real-control_correct-45c33fc7f4b89ab1-001,control_correct,45c33fc7f4b89ab1c6dc531cc2037c6f12f31be942521e464900010642f4fb89,1,false
41,real-control_correct-2ec159fcc5ac75cf-001,control_correct,2ec159fcc5ac75cf4ebc9c3051d92d8777aa987432728792bc4527d3da0c6c20,1,false
42,real-truncated-9ecfc35fcefae241-001,truncated,9ecfc35fcefae241d9aff4cfd6584fec5db6c121c1b59a2bfd6979a273952041,1,false
43,real-truncated-acb3a5295c56829c-001,truncated,acb3a5295c56829c5d2a6c8372c0d9edd0283c757b724a377d1a4cbf115ac06b,1,false
